Designator,Mid X,Mid Y,Rotation,Layer
C1,148.9,-29.1,0.0,top
Cpower1,101.4,-27.3,270.0,top
Cpower2,130.4,-23.225,270.0,top
Cpower3,124.1,-23.2,270.0,top
Cpower4,94.575,-31.2,180.0,top
Jrfin1,84.8,-43.6,0.0,top
Jrfout1,166.8,-38.6,180.0,top
Lchoke1,142.2,-25.2,270.0,top
Ldrain1,129.3,-37.5,270.0,top
Ldrain2,129.4,-48.8,270.0,top
Lrf1,158.6,-42.9,270.0,top
Q1,120.2,-38.38,90.0,top
Q2,119.845,-52.24,90.0,top
Rdischarge1,115.2,-41.4,270.0,top
Rdischarge2,115.2,-45.8125,90.0,top
Rdischarge3,91.0,-42.4125,90.0,top
Rgate1,110.4125,-41.8,180.0,top
Rgate2,110.3875,-45.6,0.0,top
Rucc_en1,96.9,-35.1125,270.0,top
U1,98.17,-43.1,270.0,top
