Designator,Mid X,Mid Y,Rotation,Layer
C202,136.0,-96.9,90.0,top
C203,119.7,-96.375,90.0,top
C204,122.1,-96.375,90.0,top
C205,122.5,-80.6,180.0,top
Cbias1,136.9,-72.975,270.0,top
Cbias2,143.6,-68.5625,90.0,top
Cbias3,147.1,-73.3,0.0,top
Cinshunt1,161.0,-56.375,90.0,top
Cinshunt1v1,157.4,-58.3,270.0,top
Cout1,144.1,-89.2,180.0,top
Cout1v1,143.925,-92.7,0.0,top
Coutshunt1,164.3,-92.775,90.0,top
Coutshunt1v1,163.7,-86.2,90.0,top
Coutshunt2,139.7,-96.9,90.0,top
Coutshunt2v1,136.9,-90.3,90.0,top
Cpow1,129.5,-70.6,270.0,top
Cpow2,124.3,-62.275,90.0,top
Cpow3,127.0,-62.175,90.0,top
Cr8,159.525,-67.8,0.0,top
Crf_in1,150.4,-52.0,0.0,top
Crf_in1v1,150.6,-55.4,0.0,top
Dzener1,134.2,-64.7,0.0,top
J1,114.42255,-55.6,0.0,top
J2,114.82255,-76.3,0.0,top
L1,128.9,-94.7,180.0,top
L2,119.5,-88.5,90.0,top
L6,161.325,-78.1,0.0,top
L7,171.1,-83.475,270.0,top
L8,155.925,-90.6,180.0,top
Q1,172.73,-69.19375,270.0,top
R1,168.2875,-60.9,0.0,top
R6,164.1875,-69.5,0.0,top
R8,165.4,-66.5,180.0,top
RV1,148.65,-67.75,90.0,top
Ratt1,130.7,-57.5,90.0,top
Ratt2,138.0875,-54.4,0.0,top
Ratt3,143.8,-57.7,90.0,top
U1,139.8,-67.7625,270.0,top
